,index,scent_value
0,floral,57
1,citrus,39
2,fruity,37
3,woody,30
4,lavender,27
5,vanilla,27
6,oriental,25
7,spicy,23
8,lemon,21
9,apple,21
10,tea,17
11,woodsy,17
12,orange,15
13,jasmine,15
14,musk,14
15,musky,13
16,aquatic,13
17,mint,13
18,amber,13
19,rose,12
20,fresh,12
21,citrusy,11
22,herbal,11
23,green,11
24,ginger,10
25,linen,10
26,coconut,10
27,peach,10
28,pine,9
29,gourmand,9
30,chypre,9
31,rain,9
32,mango,8
33,cinnamon,8
34,tropical,8
35,cucumber,8
36,mandarin,8
37,spice,7
38,sandalwood,7
39,florally,7
40,berry,7
41,grapefruit,7
42,flower,7
43,lime,7
44,flowery,7
45,new,6
46,car,6
47,strawberry,6
48,patchouli,6
49,wood,6
50,cherry,6
51,fougere,5
52,eucalyptus,5
53,luscious,5
54,bergamot,5
55,melon,5
56,leather,5
57,clean,5
58,earthy,5
59,almond,5
60,pear,4
61,tree,4
62,sage,4
63,leathery,4
64,orchid,4
65,woods,4
66,lily,4
67,balsamic,4
68,pineapple,4
69,cranberry,4
70,aloe,4
71,raspberry,4
72,warm,3
73,royal,3
74,flowers,3
75,mossy,3
76,light,3
77,lemongrass,3
78,chamomile,3
79,ocean,3
80,forest,3
81,pomegranate,3
82,mist,3
83,rosemary,3
84,spring,3
85,cedar,3
86,blossom,3
87,peppermint,2
88,honeysuckle,2
89,vanillaroma,2
90,lilies,2
91,spiced,2
92,vera,2
93,lemony,2
94,fruit,2
95,bloom,2
96,hawaiian,2
97,magnolia,2
98,bean,2
99,blueberry,2
100,assorted,2
101,thyme,2
102,pink,1
103,passion,1
104,night,1
105,french,1
106,morning,1
107,tuberose,1
108,garden,1
109,sparkling,1
110,cinnaberry,1
111,None,1
112,wild,1
113,clove,1
114,chocolate,1
115,bayberry,1
116,citron,1
117,colada,1
118,pina,1
119,juicy,1
120,splash,1
121,crisp,1
122,sassafras,1
123,unscented,1
124,linens,1
